community,demo,new
WEST ELSDON,9,58
MOUNT GREENWOOD,84,96
WEST LAWN,26,22
ENGLEWOOD,733,132
GRAND BOULEVARD,91,273
BRIGHTON PARK,90,101
SOUTH SHORE,112,100
DOUGLAS,114,144
IRVING PARK,211,308
NEAR NORTH SIDE,197,841
WOODLAWN,112,166
WASHINGTON PARK,105,71
NEW CITY,336,200
LINCOLN PARK,666,817
WASHINGTON HEIGHTS,37,118
EAST SIDE,49,40
JEFFERSON PARK,54,149
FULLER PARK,55,21
LAKE VIEW,808,899
OHARE,16,18
GREATER GRAND CROSSING,208,134
WEST RIDGE,104,158
WEST ENGLEWOOD,597,132
AVALON PARK,24,28
SOUTH CHICAGO,215,50
RIVERDALE,29,10
HERMOSA,18,32
SOUTH DEERING,48,53
ASHBURN,23,45
ROSELAND,303,84
ALBANY PARK,61,88
BURNSIDE,22,30
CHATHAM,59,68
MORGAN PARK,68,72
NORWOOD PARK,86,123
ARCHER HEIGHTS,18,31
WEST GARFIELD PARK,203,75
CHICAGO LAWN,81,68
NORTH CENTER,754,774
HEGEWISCH,27,14
SOUTH LAWNDALE,143,115
CALUMET HEIGHTS,38,27
GAGE PARK,44,50
LOWER WEST SIDE,142,147
HUMBOLDT PARK,347,225
OAKLAND,21,93
ROGERS PARK,58,92
NORTH PARK,32,49
BEVERLY,42,53
GARFIELD RIDGE,185,120
PULLMAN,27,18
NORTH LAWNDALE,296,309
ARMOUR SQUARE,44,78
WEST PULLMAN,296,92
NEAR WEST SIDE,296,787
BELMONT CRAGIN,71,76
WEST TOWN,900,1246
FOREST GLEN,48,80
EDISON PARK,43,46
LINCOLN SQUARE,217,261
HYDE PARK,58,191
EAST GARFIELD PARK,176,168
NEAR SOUTH SIDE,57,351
KENWOOD,10,63
AUSTIN,381,242
LOOP,58,794
AUBURN GRESHAM,122,117
PORTAGE PARK,87,148
UPTOWN,97,184
AVONDALE,155,197
LOGAN SQUARE,499,657
EDGEWATER,84,114
CLEARING,21,97
BRIDGEPORT,180,457
MONTCLARE,40,47
MCKINLEY PARK,76,125
DUNNING,107,137