recv_zip,60290,60601,60602,60603,60604,60605,60606,60607,60608,60609,60610,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60644,60645,60646,60647,60649,60651,60652,60653,60654,60655,60656,60657,60659,60660,60661,60664,60666,60668,60669,60670,60673,60674,60675,60677,60678,60680,60681,60682,60684,60685,60686,60687,60688,60689,60690,60691,60693,60694,60695,60696,60697,60699,60701
60290,1.88,3.28,0.83,0.57,0.84,2.47,1.3,2.06,2.02,0.75,3.79,2.85,1.11,4.6,5.83,1.66,1.73,0.57,3.78,0.41,0.47,0.23,4.14,0.58,0.19,3.38,2.78,0.47,0.88,1.38,1,0.79,0.08,1.39,0.26,0.88,0.92,0.94,5.2,1.78,1.42,0.51,0.28,1.18,0.56,6.09,0.42,0.53,0.39,0.38,1.57,0.53,0.77,6.8,0.93,3.21,0.97,0.26,0.3,0.06,0.05,0.31,0.37,0.06,0.04,0.12,0.09,0.41,0.01,0.18,0.2,0.08,0.12,0.04,0.01,0.12,0.13,0.01,0.02,0.12,0.14,0.01,0.04,0.02,0.06
60601,1.75,3.48,1.01,0.62,0.88,2.44,1.46,2.08,2.05,0.75,4.03,2.99,1.18,4.82,6.21,1.8,1.83,0.5,3.66,0.42,0.39,0.19,4.62,0.55,0.2,3.12,2.54,0.28,0.79,1.28,0.76,0.8,0.09,1.16,0.21,0.88,0.81,0.89,4.65,1.81,1.63,0.35,0.29,0.88,0.45,6.57,0.36,0.53,0.36,0.36,1.65,0.42,0.66,7.26,0.85,2.9,1.05,0.27,0.22,0.05,0.05,0.38,0.42,0.07,0.04,0.11,0.1,0.4,0.02,0.2,0.2,0.09,0.12,0.06,0.01,0.14,0.11,0.01,0.02,0.12,0.16,0.01,0.03,0.02,0.07
60602,1.44,3.28,0.93,0.55,0.79,2.5,1.38,2.09,2.06,0.73,3.99,2.89,1.18,4.96,6.03,1.75,1.84,0.47,3.94,0.33,0.36,0.19,4.86,0.55,0.18,3.22,2.54,0.27,0.82,1.29,0.74,0.78,0.06,1.06,0.14,0.85,0.76,0.97,4.8,1.74,1.56,0.35,0.27,0.89,0.53,7.05,0.35,0.51,0.36,0.37,1.65,0.43,0.62,7.5,0.84,2.95,1.11,0.24,0.27,0.06,0.04,0.35,0.45,0.07,0.04,0.09,0.11,0.4,0.02,0.2,0.16,0.08,0.11,0.05,0,0.14,0.13,0.01,0.01,0.11,0.14,0,0.03,0,0.07
60603,1.81,3.48,0.99,0.7,0.86,2.4,1.47,2.14,2.08,0.79,4,2.9,1.21,4.96,5.93,1.52,1.67,0.48,3.8,0.33,0.31,0.2,4.49,0.63,0.18,3.28,2.73,0.27,0.82,1.36,0.87,0.82,0.06,1.2,0.2,0.76,0.86,0.98,4.76,1.83,1.61,0.34,0.22,0.84,0.5,6.58,0.28,0.55,0.38,0.3,1.66,0.45,0.76,7.36,0.85,2.85,1.06,0.26,0.23,0.05,0.06,0.37,0.38,0.07,0.04,0.09,0.11,0.36,0.02,0.18,0.18,0.07,0.11,0.04,0.02,0.11,0.1,0,0.03,0.09,0.17,0.01,0.03,0.02,0.09
60604,1.75,3.36,0.94,0.65,0.98,2.55,1.34,1.98,1.99,0.8,3.74,2.83,1.26,4.59,5.72,1.94,1.85,0.58,3.86,0.55,0.53,0.26,4.22,0.62,0.24,2.92,2.76,0.45,0.92,1.39,0.85,0.75,0.08,1.33,0.24,0.91,0.78,0.9,4.8,1.71,1.47,0.5,0.34,0.95,0.52,6.27,0.51,0.57,0.45,0.5,1.44,0.39,0.72,7.08,0.85,3.17,0.88,0.31,0.29,0.06,0.04,0.35,0.36,0.06,0.03,0.1,0.09,0.43,0.01,0.22,0.17,0.08,0.12,0.04,0.01,0.13,0.15,0,0.02,0.1,0.17,0.02,0.02,0.02,0.05
60605,2.31,3.72,0.99,0.6,1,2.75,1.56,2.23,2.21,0.69,3.83,3.13,1.25,4.67,6.52,1.97,1.99,0.4,3.69,0.3,0.31,0.17,4.85,0.47,0.15,2.96,2.43,0.2,0.71,1.04,0.64,0.65,0.06,1,0.15,0.95,0.62,0.63,4.59,1.6,1.73,0.28,0.24,0.78,0.4,6.89,0.28,0.4,0.32,0.29,1.72,0.34,0.58,7.6,0.66,2.94,1.1,0.29,0.23,0.07,0.05,0.35,0.43,0.07,0.04,0.13,0.09,0.38,0.01,0.19,0.17,0.1,0.12,0.05,0.01,0.12,0.15,0,0.02,0.13,0.17,0.01,0.03,0.02,0.06
60606,1.59,3.29,0.87,0.55,0.84,2.36,1.49,2.2,2.15,0.67,4.08,3.18,1.17,4.94,6.36,1.79,1.84,0.45,3.81,0.37,0.38,0.18,4.83,0.51,0.18,3.24,2.57,0.28,0.69,1.07,0.72,0.73,0.09,1.08,0.16,0.85,0.75,0.8,4.79,1.66,1.68,0.34,0.26,0.8,0.44,6.83,0.32,0.5,0.33,0.35,1.8,0.37,0.61,7.87,0.7,2.78,1.08,0.26,0.21,0.06,0.05,0.39,0.37,0.05,0.03,0.11,0.12,0.41,0.02,0.18,0.18,0.08,0.13,0.05,0.02,0.14,0.11,0.01,0.02,0.14,0.13,0.01,0.03,0.02,0.06
60607,1.95,3.43,0.94,0.56,0.94,2.47,1.46,2.29,2.19,0.69,3.99,3.05,1.26,4.86,6.56,1.93,1.91,0.41,3.6,0.31,0.33,0.18,5.1,0.58,0.19,2.93,2.43,0.25,0.73,0.99,0.67,0.79,0.06,0.96,0.19,0.93,0.67,0.72,4.35,1.55,1.72,0.3,0.26,0.73,0.38,7.27,0.28,0.49,0.34,0.29,1.7,0.33,0.54,7.81,0.72,2.75,1.16,0.32,0.22,0.08,0.06,0.35,0.4,0.08,0.03,0.1,0.11,0.4,0.01,0.18,0.2,0.09,0.13,0.06,0.01,0.13,0.12,0.02,0.03,0.12,0.16,0.01,0.04,0.02,0.05
60608,1.88,3.35,1,0.57,0.92,2.26,1.39,2.13,3.07,0.89,3.15,2.44,1.26,4.29,5.27,1.95,1.98,0.53,4.17,0.4,0.4,0.24,5.13,0.84,0.24,3.22,2.46,0.32,1.12,1.1,0.61,1.12,0.09,1.08,0.24,1,0.81,0.98,4.39,1.86,1.54,0.36,0.29,0.78,0.38,8,0.32,0.69,0.41,0.36,1.35,0.34,0.54,6.62,0.75,2.74,0.94,0.27,0.21,0.07,0.06,0.33,0.33,0.05,0.03,0.1,0.09,0.48,0.02,0.28,0.23,0.09,0.15,0.06,0.02,0.13,0.11,0.01,0.01,0.11,0.13,0.01,0.03,0.01,0.06
60609,1.48,3.15,0.94,0.6,0.85,2.27,1.25,1.91,2.73,1.18,3.12,2.27,1.4,3.96,4.7,2.38,2.2,0.79,3.62,1.01,1.06,0.5,4.23,0.96,0.43,2.94,2.49,0.75,1.46,1.14,0.61,1.25,0.13,1.13,0.47,1.32,0.85,1.26,3.96,1.92,1.35,0.64,0.48,0.8,0.37,6.56,0.82,0.91,0.6,0.81,1.16,0.5,0.58,5.73,0.87,2.59,0.88,0.29,0.21,0.06,0.05,0.34,0.32,0.08,0.03,0.12,0.09,0.5,0.01,0.33,0.21,0.08,0.19,0.04,0.02,0.14,0.13,0.01,0.03,0.11,0.17,0.01,0.03,0.01,0.06
60610,2,3.75,1.02,0.59,0.93,2.47,1.6,2.2,1.99,0.59,4.71,3.39,1.12,5.07,7.02,1.63,1.75,0.33,3.71,0.28,0.26,0.18,5.04,0.47,0.16,2.98,2.19,0.2,0.65,1.01,0.62,0.63,0.06,0.98,0.13,0.76,0.61,0.68,4.39,1.5,1.84,0.26,0.22,0.69,0.39,6.72,0.24,0.42,0.27,0.27,1.98,0.29,0.56,8.22,0.7,2.65,1.2,0.28,0.22,0.07,0.05,0.37,0.48,0.06,0.05,0.11,0.09,0.36,0.01,0.17,0.19,0.07,0.11,0.06,0.01,0.14,0.11,0,0.02,0.13,0.14,0.01,0.03,0.01,0.06
60611,1.94,3.76,0.96,0.58,0.88,2.44,1.61,2.26,1.89,0.56,4.78,3.6,1.17,5.21,7.15,1.72,1.81,0.31,3.65,0.28,0.28,0.17,5.15,0.45,0.14,2.91,2.23,0.19,0.61,0.91,0.58,0.54,0.06,0.88,0.14,0.84,0.6,0.61,4.58,1.43,1.83,0.26,0.22,0.63,0.36,6.48,0.23,0.39,0.25,0.26,2.05,0.29,0.5,8.55,0.68,2.71,1.18,0.28,0.2,0.06,0.05,0.38,0.46,0.06,0.03,0.1,0.1,0.34,0.01,0.14,0.2,0.07,0.1,0.05,0.01,0.11,0.1,0.01,0.02,0.12,0.14,0.01,0.03,0.01,0.05
60612,1.74,3.34,0.98,0.58,0.87,2.31,1.31,1.94,2.3,0.72,3.46,2.65,1.31,4.86,5.81,2.13,1.85,0.5,3.76,0.62,0.62,0.35,5.02,0.67,0.29,3.08,2.67,0.43,0.85,1.01,0.61,0.74,0.09,1.03,0.29,1.04,0.7,0.88,4.45,1.71,1.55,0.49,0.39,0.76,0.39,7.54,0.5,0.68,0.41,0.47,1.39,0.36,0.55,7.39,0.74,2.78,0.93,0.27,0.2,0.06,0.05,0.3,0.32,0.06,0.03,0.1,0.08,0.38,0.02,0.18,0.23,0.06,0.13,0.06,0.01,0.11,0.1,0.01,0.01,0.12,0.11,0.01,0.01,0.02,0.05
60613,1.76,3.15,0.89,0.53,0.83,2.11,1.36,1.89,1.99,0.63,3.76,2.7,1.17,6.06,6.98,1.68,1.56,0.28,4.07,0.25,0.23,0.15,5.23,0.47,0.16,3.2,2.69,0.17,0.55,0.92,0.54,0.58,0.05,0.81,0.14,0.8,0.53,0.61,5.24,1.46,1.77,0.22,0.22,0.74,0.35,7.84,0.21,0.43,0.24,0.24,1.49,0.28,0.44,9.38,0.61,3.23,1.02,0.24,0.2,0.07,0.05,0.35,0.39,0.07,0.03,0.1,0.1,0.34,0.01,0.15,0.17,0.06,0.12,0.07,0,0.1,0.13,0.01,0.02,0.12,0.12,0.01,0.03,0.02,0.05
60614,2.25,3.57,0.99,0.59,0.91,2.42,1.51,2.11,1.89,0.6,4.27,3.06,1.13,5.33,7.83,1.72,1.59,0.31,3.81,0.25,0.26,0.16,5.21,0.45,0.16,2.95,2.24,0.18,0.57,0.93,0.6,0.56,0.05,0.88,0.14,0.87,0.57,0.62,4.41,1.43,1.87,0.21,0.22,0.64,0.37,7.24,0.22,0.41,0.25,0.21,1.74,0.25,0.44,8.77,0.62,2.76,1.08,0.28,0.2,0.07,0.06,0.36,0.41,0.06,0.04,0.1,0.11,0.37,0.02,0.14,0.19,0.09,0.11,0.06,0.01,0.13,0.11,0.01,0.02,0.15,0.12,0.01,0.03,0.02,0.06
60615,1.58,3.15,0.86,0.56,0.91,2.56,1.26,2.21,2.45,0.84,3.26,2.54,1.25,4.56,5.66,3.54,2.25,0.61,3.5,0.79,0.8,0.4,4.61,0.54,0.29,2.9,2.7,0.49,0.79,0.82,0.53,0.7,0.08,0.8,0.36,1.73,0.55,0.74,4.64,1.48,1.44,0.54,0.36,0.79,0.33,7.03,0.69,0.68,0.44,0.69,1.23,0.37,0.42,7.05,0.64,2.86,0.93,0.27,0.21,0.06,0.05,0.31,0.32,0.07,0.03,0.07,0.09,0.38,0.01,0.17,0.19,0.08,0.13,0.06,0.01,0.12,0.12,0.01,0.03,0.11,0.15,0.01,0.04,0.02,0.06
60616,2.13,3.7,1.12,0.67,1.08,2.63,1.41,2.26,2.45,0.84,3.6,2.87,1.18,4.6,6.09,2.19,2.17,0.56,3.55,0.45,0.44,0.26,4.62,0.66,0.2,2.89,2.25,0.32,0.94,1.06,0.65,0.92,0.08,0.99,0.23,1.15,0.71,0.84,4.17,1.65,1.53,0.35,0.27,0.74,0.38,6.67,0.35,0.54,0.43,0.39,1.51,0.39,0.51,7.15,0.75,2.65,1.05,0.33,0.19,0.07,0.05,0.38,0.38,0.07,0.04,0.12,0.09,0.48,0.01,0.25,0.23,0.11,0.14,0.05,0.01,0.13,0.15,0.01,0.02,0.14,0.17,0.01,0.05,0.02,0.06
60617,1.3,3.11,0.91,0.6,0.9,2.25,1.23,1.87,2.5,1.05,3.11,2.34,1.39,3.46,4.29,2.75,2.27,1.48,3.14,1.77,1.6,0.77,3.75,0.94,0.47,2.74,2.37,1.4,1.53,0.97,0.58,1.2,0.25,1.06,0.7,1.69,0.86,1.27,3.6,1.77,1.25,1.07,0.68,0.84,0.4,5.5,1.45,0.98,0.78,1.08,1.14,0.56,0.58,5.09,0.72,2.38,0.91,0.24,0.19,0.04,0.04,0.32,0.29,0.06,0.05,0.11,0.09,0.45,0.01,0.27,0.26,0.06,0.2,0.04,0.02,0.12,0.11,0.02,0.01,0.09,0.17,0.02,0.02,0.01,0.04
60618,1.81,3.12,0.87,0.52,0.84,2.23,1.33,1.93,2.26,0.69,3.51,2.5,1.23,4.98,6.07,1.65,1.61,0.36,4.67,0.3,0.29,0.16,5.37,0.58,0.17,3.46,2.59,0.2,0.8,1.12,0.63,0.79,0.07,1.02,0.16,0.81,0.63,0.92,4.84,1.89,1.74,0.26,0.25,0.75,0.39,8.59,0.27,0.58,0.32,0.26,1.43,0.29,0.55,7.59,0.75,2.93,0.94,0.23,0.21,0.06,0.06,0.33,0.35,0.05,0.04,0.07,0.1,0.36,0.01,0.2,0.18,0.07,0.13,0.05,0.01,0.09,0.12,0.01,0.02,0.11,0.12,0.02,0.03,0.02,0.07
60619,1.23,3.01,0.89,0.6,0.95,2.36,1.16,1.65,2.38,1.26,2.48,2,1.43,2.71,3.56,4.05,2.52,1.64,2.57,2.86,2.79,1.17,2.91,1.15,0.75,2.37,2.6,2.05,1.52,0.85,0.39,0.99,0.24,0.99,1.05,2.24,0.71,1.36,3.07,1.52,0.87,1.57,1.01,0.8,0.27,4.66,2.13,1.19,0.9,1.63,0.97,0.55,0.44,3.82,0.73,2.06,0.72,0.29,0.16,0.05,0.07,0.3,0.29,0.07,0.01,0.11,0.08,0.56,0.01,0.3,0.24,0.07,0.21,0.05,0.01,0.15,0.12,0.02,0.02,0.12,0.19,0.02,0.03,0.03,0.05
60620,1.49,3.23,1.04,0.68,0.98,2.34,1.18,1.84,2.3,1.16,2.45,1.92,1.45,2.97,3.58,3.57,2.49,1.4,2.63,2.58,2.53,1.1,2.84,1.09,0.69,2.36,2.38,1.96,1.75,0.92,0.49,1.22,0.25,1.06,1.08,2.23,0.87,1.41,3.15,1.68,0.94,1.51,1.04,0.84,0.31,4.59,1.7,1.1,1.21,1.48,0.83,0.59,0.5,3.93,0.71,2.17,0.69,0.29,0.23,0.04,0.05,0.29,0.29,0.06,0.03,0.09,0.09,0.5,0.02,0.28,0.23,0.08,0.24,0.04,0.01,0.08,0.17,0.01,0.03,0.09,0.17,0.01,0.03,0.02,0.05
60621,1.19,2.88,0.89,0.62,0.95,2.32,1.17,1.9,2.14,1.33,2.45,2,1.46,2.77,3.44,3.71,2.51,1.35,2.44,2.83,2.83,1.48,2.84,1.25,0.75,2.23,2.46,1.93,1.46,0.82,0.52,1.04,0.3,1.05,1.41,2.55,0.81,1.48,2.98,1.43,0.97,1.77,1.24,0.89,0.29,4.46,1.99,1.32,1.04,1.72,0.89,0.57,0.49,3.47,0.71,2.12,0.74,0.33,0.2,0.04,0.08,0.32,0.26,0.06,0.01,0.12,0.07,0.47,0,0.3,0.23,0.08,0.2,0.03,0.03,0.09,0.09,0.02,0.02,0.07,0.18,0,0.01,0.01,0.02
60622,1.85,3.4,0.93,0.53,0.85,2.28,1.41,1.98,2.31,0.58,3.87,2.84,1.31,5.02,6.62,1.65,1.68,0.31,4.22,0.21,0.22,0.14,6.28,0.5,0.16,3.06,2.24,0.17,0.61,0.9,0.55,0.63,0.05,0.89,0.13,0.82,0.56,0.64,4.61,1.51,2.04,0.22,0.2,0.62,0.35,9.03,0.18,0.49,0.24,0.23,1.64,0.24,0.44,8.19,0.62,2.63,1.04,0.25,0.21,0.06,0.06,0.33,0.39,0.05,0.03,0.08,0.09,0.36,0.01,0.16,0.17,0.07,0.1,0.07,0.01,0.11,0.11,0,0.02,0.12,0.12,0.01,0.02,0.02,0.05
60623,2.16,3.32,1.01,0.64,1.01,2.25,1.17,2.07,2.96,1.11,2.57,1.99,1.38,3.61,4.58,2.09,2.07,0.88,3.52,0.88,0.93,0.53,3.91,1.31,0.46,2.93,2.43,0.66,1.76,1.24,0.7,1.7,0.14,1.37,0.46,1.22,1.18,1.53,3.72,2.03,1.23,0.55,0.69,0.9,0.43,6.46,0.67,1.03,0.76,0.66,0.99,0.4,0.66,5.07,0.87,2.53,0.71,0.33,0.25,0.1,0.07,0.35,0.31,0.09,0.02,0.1,0.07,0.48,0.01,0.4,0.25,0.08,0.23,0.05,0.02,0.11,0.16,0.01,0.02,0.11,0.17,0.02,0.04,0.01,0.06
60624,1.51,2.8,0.84,0.63,0.89,2.17,1.28,1.84,2.57,0.99,2.44,2,1.65,3.56,4.14,2.48,2.02,0.88,3.48,1.53,1.66,0.78,3.89,1.29,0.87,2.92,2.54,0.94,1.45,1.01,0.56,1.11,0.14,1.27,0.75,1.52,0.69,1.64,3.65,1.99,1.13,0.97,1.15,0.86,0.37,6.39,1.14,1.58,0.81,1.09,0.97,0.39,0.59,4.79,0.86,2.49,0.65,0.29,0.16,0.03,0.05,0.23,0.24,0.06,0.03,0.09,0.1,0.52,0.01,0.34,0.21,0.1,0.24,0.03,0.02,0.12,0.14,0.02,0.02,0.12,0.16,0.02,0.01,0.02,0.05
60625,1.86,3.25,0.93,0.53,0.91,2.15,1.3,1.87,2.27,0.68,3.43,2.45,1.18,4.94,5.96,1.64,1.66,0.39,4.48,0.27,0.28,0.17,5.12,0.57,0.19,3.8,2.72,0.19,0.79,1.2,0.65,0.81,0.06,1.13,0.17,0.8,0.67,0.95,5.06,1.94,1.64,0.26,0.21,0.89,0.45,7.97,0.25,0.59,0.31,0.25,1.34,0.28,0.58,7.62,0.85,3.11,0.89,0.25,0.22,0.06,0.05,0.3,0.35,0.06,0.03,0.09,0.09,0.37,0.01,0.21,0.17,0.09,0.1,0.05,0.01,0.1,0.11,0.01,0.02,0.1,0.11,0.01,0.03,0.01,0.06
60626,1.47,2.88,0.87,0.48,0.79,2.09,1.18,1.8,2.2,0.67,3.05,2.36,1.18,5.2,5.47,1.95,1.72,0.39,4.16,0.47,0.46,0.23,4.8,0.55,0.25,3.72,3.64,0.31,0.69,1.07,0.62,0.7,0.08,0.97,0.21,1,0.53,0.84,5.77,1.73,1.51,0.34,0.33,1,0.43,7.69,0.41,0.62,0.3,0.45,1.18,0.27,0.51,7.71,0.86,3.89,0.91,0.24,0.21,0.05,0.04,0.31,0.33,0.06,0.04,0.1,0.08,0.32,0.01,0.2,0.17,0.07,0.12,0.05,0.01,0.1,0.12,0.01,0.01,0.09,0.14,0.01,0.03,0.01,0.06
